plot,spec,hits
E5C,Luzspi,0
E5C,Pedlap,0
E5C,Pinvul,0
E5C,Pyrsp.,0
E5C,Rholap,0
E5C,Rubcha,0
E5C,Salmyr,0
E5C,Salgla,0
E5C,Salret,0
E5C,Saualp,0
E5C,Silaca,0
E5C,Thaalp,0
E5C,Tofpus,0
E5C,Trices,0
E5C,Vacmic,0
E5C,Vaculi,76
E5C,Vacvit,184
X1SF,Andpol,0
X1SF,Arcalp,0
X1SF,Astalp,0
X1SF,Baralp,0
X1SF,Betnan,114
X1SF,Bisviv,0
X1SF,Callap,0
X1SF,Carbig,0
X1SF,Carcap,0
X1SF,Cardio,0
X1SF,Carnig,0
X1SF,Carrup,0
X1SF,Carvag,0
X1SF,Castet,0
X1SF,Dessp.,0
X1SF,Dialap,0
X1SF,Dryoct,0
X1SF,Empnig,93
X1SF,Equpra,0
X1SF,Equsci,0
X1SF,Erilat,0
X1SF,Erivag,0
X1SF,Eupfri,0
X1SF,Fesovi,1
X1SF,Hupsel,0
X1SF,Juntri,10
X1SF,Linbor,0
X1SF,Loipro,6
X1SF,Luzspi,0
X1SF,Pedlap,0
X1SF,Pinvul,0
X1SF,Pyrsp.,0
X1SF,Rholap,0
X1SF,Rubcha,0
X1SF,Salmyr,0
X1SF,Salgla,0
X1SF,Salret,0
X1SF,Saualp,0
X1SF,Silaca,0
X1SF,Thaalp,0
X1SF,Tofpus,0
X1SF,Trices,0
X1SF,Vacmic,0
X1SF,Vaculi,26
X1SF,Vacvit,71
X1C,Andpol,0
X1C,Arcalp,2
X1C,Astalp,0
X1C,Baralp,0
X1C,Betnan,60
X1C,Bisviv,0
X1C,Callap,0
X1C,Carbig,0
X1C,Carcap,0
X1C,Cardio,0
X1C,Carnig,0
X1C,Carrup,0
X1C,Carvag,0
X1C,Castet,0
X1C,Dessp.,0
X1C,Dialap,2
X1C,Dryoct,0
X1C,Empnig,212
X1C,Equpra,0
X1C,Equsci,0
X1C,Erilat,0
X1C,Erivag,0
X1C,Eupfri,0
X1C,Fesovi,0
X1C,Hupsel,0
X1C,Juntri,0
X1C,Linbor,0
X1C,Loipro,113
X1C,Luzspi,0
X1C,Pedlap,0
X1C,Pinvul,0
X1C,Pyrsp.,0
X1C,Rholap,0
X1C,Rubcha,0
X1C,Salmyr,0
X1C,Salgla,0
X1C,Salret,0
X1C,Saualp,0
X1C,Silaca,0
X1C,Thaalp,0
X1C,Tofpus,0
X1C,Trices,0
X1C,Vacmic,0
X1C,Vaculi,41
X1C,Vacvit,0
X2SF,Andpol,0
X2SF,Arcalp,11
X2SF,Astalp,0
X2SF,Baralp,0
X2SF,Betnan,49
X2SF,Bisviv,0
X2SF,Callap,0
X2SF,Carbig,0
X2SF,Carcap,0
X2SF,Cardio,0
X2SF,Carnig,0
X2SF,Carrup,0
X2SF,Carvag,0
X2SF,Castet,0
X2SF,Dessp.,0
X2SF,Dialap,8
X2SF,Dryoct,1
X2SF,Empnig,56
X2SF,Equpra,0
X2SF,Equsci,0
X2SF,Erilat,0
X2SF,Erivag,0
X2SF,Eupfri,0
X2SF,Fesovi,0
X2SF,Hupsel,0
X2SF,Juntri,0
X2SF,Linbor,0
X2SF,Loipro,83
X2SF,Luzspi,0
X2SF,Pedlap,0
X2SF,Pinvul,0
X2SF,Pyrsp.,0
X2SF,Rholap,0
X2SF,Rubcha,0
X2SF,Salmyr,0
X2SF,Salgla,0
X2SF,Salret,0
X2SF,Saualp,0
X2SF,Silaca,0
X2SF,Thaalp,0
X2SF,Tofpus,0
X2SF,Trices,0
X2SF,Vacmic,0
X2SF,Vaculi,56
X2SF,Vacvit,0
X2C,Andpol,0
X2C,Arcalp,0
X2C,Astalp,0
X2C,Baralp,0
X2C,Betnan,3
X2C,Bisviv,0
X2C,Callap,0
X2C,Carbig,0
X2C,Carcap,0
X2C,Cardio,0
X2C,Carnig,0
X2C,Carrup,0
X2C,Carvag,0
X2C,Castet,0
X2C,Dessp.,0
X2C,Dialap,3
X2C,Dryoct,40
X2C,Empnig,58
X2C,Equpra,0
X2C,Equsci,0
X2C,Erilat,0
X2C,Erivag,0
X2C,Eupfri,0
X2C,Fesovi,6
X2C,Hupsel,0
X2C,Juntri,0
X2C,Linbor,0
X2C,Loipro,17
X2C,Luzspi,0
X2C,Pedlap,0
X2C,Pinvul,2
X2C,Pyrsp.,0
X2C,Rholap,0
X2C,Rubcha,0
X2C,Salmyr,0
X2C,Salgla,0
X2C,Salret,0
X2C,Saualp,0
X2C,Silaca,0
X2C,Thaalp,0
X2C,Tofpus,0
X2C,Trices,0
X2C,Vacmic,0
X2C,Vaculi,29
X2C,Vacvit,0
X3SF,Andpol,0
X3SF,Arcalp,0
X3SF,Astalp,0
X3SF,Baralp,0
X3SF,Betnan,39
X3SF,Bisviv,0
X3SF,Callap,0
X3SF,Carbig,0
X3SF,Carcap,0
X3SF,Cardio,0
X3SF,Carnig,0
X3SF,Carrup,0
X3SF,Carvag,0
X3SF,Castet,0
X3SF,Dessp.,0
X3SF,Dialap,9
X3SF,Dryoct,0
X3SF,Empnig,103
X3SF,Equpra,0
X3SF,Equsci,0
X3SF,Erilat,0
X3SF,Erivag,0
X3SF,Eupfri,0
X3SF,Fesovi,0
X3SF,Hupsel,0
X3SF,Juntri,4
X3SF,Linbor,0
X3SF,Loipro,23
X3SF,Luzspi,0
X3SF,Pedlap,0
X3SF,Pinvul,0
X3SF,Pyrsp.,0
X3SF,Rholap,0
X3SF,Rubcha,0
X3SF,Salmyr,0
X3SF,Salgla,0
X3SF,Salret,0
X3SF,Saualp,0
X3SF,Silaca,0
X3SF,Thaalp,0
X3SF,Tofpus,0
X3SF,Trices,0
X3SF,Vacmic,0
X3SF,Vaculi,38
X3SF,Vacvit,0
X3C,Andpol,0
X3C,Arcalp,0
X3C,Astalp,0
X3C,Baralp,0
X3C,Betnan,14
X3C,Bisviv,0
X3C,Callap,0
X3C,Carbig,0
X3C,Carcap,0
X3C,Cardio,0
X3C,Carnig,0
X3C,Carrup,0
X3C,Carvag,0
X3C,Castet,0
X3C,Dessp.,0
X3C,Dialap,0
X3C,Dryoct,0
