species,plot,hits
Eriophorum vaginatum,D3SF,6
Eriophorum vaginatum,D3C,3
Eriophorum vaginatum,D4SF,0
Eriophorum vaginatum,D4C,0
Eriophorum vaginatum,D5SF,0
Eriophorum vaginatum,D5C,0
Eriophorum vaginatum,E1SF,0
Eriophorum vaginatum,E1C,0
Eriophorum vaginatum,E2SF,0
Eriophorum vaginatum,E2C,0
Eriophorum vaginatum,E3SF,0
Eriophorum vaginatum,E3C,0
Eriophorum vaginatum,E4SF,0
Eriophorum vaginatum,E4C,0
Eriophorum vaginatum,E5SF,0
Eriophorum vaginatum,E5C,0
Eriophorum vaginatum,X1SF,0
Eriophorum vaginatum,X1C,0
Eriophorum vaginatum,X2SF,0
Eriophorum vaginatum,X2C,0
Eriophorum vaginatum,X3SF,0
Eriophorum vaginatum,X3C,0
Eriophorum vaginatum,X4SF,0
Eriophorum vaginatum,X4C,0
Eriophorum vaginatum,X5SF,0
Eriophorum vaginatum,X5C,0
Euphrasia frigida,D1SF,0
Euphrasia frigida,D1C,0
Euphrasia frigida,D2SF,0
Euphrasia frigida,D2C,0
Euphrasia frigida,D3SF,0
Euphrasia frigida,D3C,0
Euphrasia frigida,D4SF,0
Euphrasia frigida,D4C,0
Euphrasia frigida,D5SF,3
Euphrasia frigida,D5C,0
Euphrasia frigida,E1SF,0
Euphrasia frigida,E1C,0
Euphrasia frigida,E2SF,0
Euphrasia frigida,E2C,0
Euphrasia frigida,E3SF,0
Euphrasia frigida,E3C,0
Euphrasia frigida,E4SF,0
Euphrasia frigida,E4C,8
Euphrasia frigida,E5SF,0
Euphrasia frigida,E5C,0
Euphrasia frigida,X1SF,0
Euphrasia frigida,X1C,0
Euphrasia frigida,X2SF,0
Euphrasia frigida,X2C,0
Euphrasia frigida,X3SF,0
Euphrasia frigida,X3C,0
Euphrasia frigida,X4SF,0
Euphrasia frigida,X4C,0
Euphrasia frigida,X5SF,0
Euphrasia frigida,X5C,0
Festuca ovina,D1SF,0
Festuca ovina,D1C,0
Festuca ovina,D2SF,0
Festuca ovina,D2C,0
Festuca ovina,D3SF,0
Festuca ovina,D3C,0
Festuca ovina,D4SF,0
Festuca ovina,D4C,0
Festuca ovina,D5SF,175
Festuca ovina,D5C,14
Festuca ovina,E1SF,167
Festuca ovina,E1C,12
Festuca ovina,E2SF,0
Festuca ovina,E2C,0
Festuca ovina,E3SF,0
Festuca ovina,E3C,0
Festuca ovina,E4SF,38
Festuca ovina,E4C,0
Festuca ovina,E5SF,0
Festuca ovina,E5C,0
Festuca ovina,X1SF,1
Festuca ovina,X1C,0
Festuca ovina,X2SF,0
Festuca ovina,X2C,6
Festuca ovina,X3SF,0
Festuca ovina,X3C,0
Festuca ovina,X4SF,0
Festuca ovina,X4C,0
Festuca ovina,X5SF,0
Festuca ovina,X5C,0
Huperzia selago,D1SF,3
Huperzia selago,D1C,0
Huperzia selago,D2SF,1
Huperzia selago,D2C,7
Huperzia selago,D3SF,0
Huperzia selago,D3C,3
Huperzia selago,D4SF,0
Huperzia selago,D4C,0
Huperzia selago,D5SF,6
Huperzia selago,D5C,14
